#type,avg,min,1st,5th,10th,90th,95th,99th,QPS,target
read,106.8,470.4,45.3,60.6,64.2,124.4,153.4,210.1,19928.8,20000
read,98.6,528.5,41.1,59.2,62.3,122.3,151.3,208.5,39767.4,40000
read,104.4,692.5,41.1,57.1,60.5,117.6,150.8,206.8,60019.6,60000
read,91.9,526.2,41.1,56.5,59.5,115.7,149.1,206.7,80035.0,80000
read,109.0,848.8,41.1,55.5,58.1,116.2,148.7,206.9,99960.3,100000
read,94.7,930.4,41.1,56.2,58.7,114.8,150.1,205.8,120048.8,120000
read,99.1,680.5,41.1,56.1,58.6,113.4,147.8,205.2,139941.5,140000
read,99.6,801.6,37.4,55.3,57.5,111.8,145.9,203.8,159987.7,160000
read,88.6,768.2,41.1,56.1,58.4,112.9,150.5,205.1,179881.1,180000
read,86.4,684.8,41.1,56.0,58.2,106.4,143.4,202.9,200060.4,200000
read,92.4,820.2,41.1,56.1,58.4,110.1,150.4,208.0,220086.6,220000
read,91.9,911.3,41.1,55.5,57.8,111.7,150.0,208.9,240119.4,240000
read,93.8,704.1,45.3,56.1,58.5,107.3,148.7,209.2,260036.0,260000
read,107.6,707.1,41.1,56.4,59.0,112.3,154.4,217.5,279741.3,280000
read,97.4,703.9,41.1,56.4,59.0,108.9,151.1,218.0,300397.6,300000
read,121.0,975.3,41.1,56.6,59.4,107.1,150.7,218.8,319926.4,320000
read,119.8,941.3,41.1,56.5,59.3,109.9,150.9,226.9,340150.8,340000
read,163.2,7241.1,41.1,56.7,59.6,108.6,152.0,227.2,359862.9,360000
read,167.5,7254.8,41.1,57.2,60.5,112.3,157.0,241.7,379939.7,380000
read,120.1,1021.9,45.3,57.4,60.6,112.5,152.6,234.8,399787.2,400000
read,144.0,1876.7,41.1,57.6,60.8,114.4,158.7,284.6,420039.6,420000
read,138.0,1108.1,41.1,58.0,61.0,116.3,171.6,447.1,440109.4,440000
read,187.0,7294.6,41.1,58.1,61.2,120.4,176.0,425.7,459897.8,460000
read,161.0,10247.1,41.1,57.2,60.5,119.4,173.3,753.2,480114.6,480000
read,160.9,10282.6,37.4,58.1,61.3,125.9,184.9,831.7,500074.1,500000
read,164.5,1456.6,45.3,58.7,61.8,130.7,192.6,898.2,519952.2,520000
read,341.0,12633.8,41.1,59.1,61.9,122.9,190.2,1110.1,540053.1,540000
read,250.0,10271.6,45.3,59.7,62.5,141.5,206.2,1328.8,560237.5,560000
read,239.6,3533.5,37.4,59.3,62.5,136.3,206.1,1296.9,579721.9,580000
read,390.3,14499.1,41.1,60.4,63.4,142.6,204.8,1353.4,599882.7,600000
read,241.3,10308.5,41.1,60.5,63.3,147.8,222.3,1013.8,619929.6,620000
read,198.1,1773.9,45.3,60.7,63.6,133.1,216.0,1432.1,640224.7,640000
read,757.1,7670.2,45.3,61.1,64.4,164.5,602.4,18764.7,659875.0,660000
read,241.1,4314.5,41.1,61.1,64.4,138.9,221.2,1660.8,679808.8,680000
read,362.1,11095.8,37.4,60.5,63.8,151.6,258.0,2300.7,699845.0,700000
read,418.8,14633.8,41.1,61.1,64.6,175.1,279.2,1269.5,720014.2,720000
read,412.9,14507.3,45.3,61.8,65.6,152.9,268.8,1908.9,739648.1,740000
read,341.3,11944.3,41.1,60.9,64.9,169.1,367.3,2192.4,759943.4,760000
read,455.2,12660.1,45.3,62.0,66.0,236.6,1097.2,4035.8,780047.6,780000
read,347.8,9954.0,41.1,62.2,66.5,200.8,660.1,2120.6,799896.8,800000
read,385.3,7995.8,41.1,62.4,66.7,189.4,667.8,2887.3,819985.3,820000
read,248.3,3203.0,41.1,62.2,66.7,213.2,572.6,2007.1,839978.0,840000
