#type,avg,min,1st,5th,10th,90th,95th,99th,QPS,target
read,93.4,454.1,41.1,61.3,66.2,104.9,112.5,130.3,9915.8,10000
read,88.5,444.2,41.1,58.1,61.9,101.5,106.6,126.9,19960.9,20000
read,89.3,518.7,37.4,57.9,61.3,103.9,111.8,130.7,30005.0,30000
read,91.3,635.1,41.1,57.1,60.3,101.3,107.1,127.3,39919.7,40000
read,88.4,561.4,41.1,56.8,59.9,100.3,106.5,126.7,49852.0,50000
read,87.1,655.6,41.1,56.2,58.7,98.6,105.7,125.3,59976.8,60000
read,86.2,632.6,41.1,56.0,58.3,97.5,105.3,124.3,70048.3,70000
read,84.5,598.3,41.1,56.1,58.4,96.8,105.0,124.6,80048.2,80000
read,83.1,568.7,37.4,55.7,57.6,96.4,104.7,123.6,90036.4,90000
read,82.9,561.2,41.1,55.8,57.8,96.1,104.6,123.9,100011.0,100000
read,82.1,602.3,41.1,55.6,57.5,95.8,104.3,124.1,109981.5,110000
read,83.0,660.3,37.4,55.5,57.3,94.9,103.5,123.2,120081.2,120000
read,81.3,564.8,41.1,55.6,57.3,94.5,103.1,122.9,130014.3,130000
read,81.7,599.9,37.4,55.5,57.1,93.6,102.5,121.6,140007.2,140000
read,81.5,601.6,41.1,55.4,57.0,93.4,101.9,121.9,149986.9,150000
read,80.3,569.2,41.1,55.4,57.0,92.8,101.6,121.7,159983.7,160000
read,83.6,700.9,37.4,55.4,56.9,92.0,100.7,121.1,169941.8,170000
read,78.0,525.8,41.1,55.5,57.2,92.8,99.8,119.6,180007.9,180000
read,77.8,490.6,41.1,55.4,56.9,89.5,98.1,119.1,189967.8,190000
read,78.5,504.5,41.1,55.3,56.8,90.5,97.7,117.9,200087.1,200000
read,81.4,543.3,41.1,55.3,56.8,91.4,97.4,118.5,209998.9,210000
read,81.6,684.6,41.1,55.2,56.7,89.5,96.6,117.4,220000.5,220000
read,78.9,579.8,41.1,55.4,56.9,88.2,96.2,116.9,229978.9,230000
read,80.1,643.2,41.1,55.3,56.8,89.1,96.1,116.9,240035.6,240000
read,78.6,630.7,41.1,55.4,56.9,87.3,95.4,116.2,250036.0,250000
read,77.1,595.4,41.1,55.3,56.9,87.9,95.3,115.8,259981.5,260000
read,80.3,668.7,41.1,55.3,56.8,87.0,94.6,115.1,269952.6,270000
read,80.6,671.4,37.4,55.3,56.9,86.9,94.2,115.5,280094.6,280000
read,77.7,619.4,41.1,55.3,56.9,86.9,94.4,114.9,289926.5,290000
read,78.7,595.2,41.1,55.6,57.3,87.2,94.4,114.7,300136.4,300000
read,80.0,572.6,37.4,55.5,57.1,87.0,93.9,114.1,309996.1,310000
read,79.1,585.5,41.1,55.7,57.5,88.1,94.9,114.3,320003.3,320000
