#type,avg,min,1st,5th,10th,90th,95th,99th,QPS,target
read,140.2,212.8,45.3,85.6,97.4,163.8,171.9,205.3,4487.3,4500
read,87.7,54.7,41.1,59.4,65.0,116.4,139.1,165.5,9001.3,9000
read,84.8,120.5,41.1,57.7,62.6,102.1,108.4,127.4,13491.0,13500
read,81.5,89.4,41.1,56.6,60.6,102.2,109.4,127.9,18047.0,18000
read,90.3,17353567194502838696185850052916508700699157503175313954673873715905987193788351644067729895738182601274961618179873937817600.0,41.1,56.3,60.0,103.8,112.1,131.4,22535.6,22500
read,87.4,17430741677420099130564568426401976758948190157124468646676643769644263805846460898272406703336127385909289871218621110288384.0,41.1,55.5,58.7,104.2,112.9,135.6,26947.6,27000
read,86.6,17346398520358464527982111719353818526223655452620358356012247440902139141108087168998855004089212728217104792330138225213440.0,41.1,55.8,59.0,105.4,114.6,140.2,31465.9,31500
read,89.3,314.8,41.1,55.7,58.9,106.0,115.8,140.7,36055.2,36000
read,84.7,278.1,41.1,55.4,58.1,106.4,116.5,141.9,40465.6,40500
read,83.8,191.7,41.1,55.3,58.2,107.4,117.3,144.1,45048.2,45000
read,84.1,190.8,41.1,55.3,58.0,108.6,119.0,150.3,49541.1,49500
read,86.4,185.5,37.4,55.5,58.2,109.7,121.2,153.7,53973.2,54000
read,97.0,455.3,41.1,55.3,57.8,110.6,122.3,161.2,58453.3,58500
read,82.9,242.6,41.1,55.3,58.0,111.2,122.9,156.0,63046.8,63000
read,83.2,208.7,37.4,55.5,58.1,112.0,124.8,167.0,67616.2,67500
read,87.2,201.1,37.4,55.3,57.9,112.6,125.8,178.5,72034.9,72000
read,85.8,180.1,37.4,55.3,58.1,112.1,125.1,185.1,76407.1,76500
read,83.6,108.3,37.4,55.4,58.0,112.3,126.5,194.1,80940.6,81000
read,83.8,3779511259182929490084036467829048629473319667921906629307168199681587460087430356148124579994793734786876775980648015721398272.0,41.1,55.0,57.7,113.1,127.1,199.4,85384.6,85500
read,85.5,78.7,37.4,55.6,58.3,113.6,128.3,218.5,90037.8,90000
read,88.8,151.1,41.1,55.4,58.1,114.3,129.8,253.5,94469.6,94500
read,87.1,115.9,41.1,55.3,58.0,114.7,133.0,266.6,99024.6,99000
read,87.3,132.2,37.4,55.3,57.9,114.7,132.7,282.1,103494.3,103500
read,94.0,159.7,41.1,55.9,58.9,116.0,136.9,361.1,107971.5,108000
read,100.4,261.1,41.1,55.8,58.7,115.3,136.9,443.2,112400.7,112500
read,97.0,186.3,37.4,55.5,58.4,116.0,138.8,480.6,117040.9,117000
read,107.8,290.6,37.4,55.8,59.0,117.9,147.3,672.0,121529.6,121500
read,123.8,669.9,41.1,55.8,58.8,118.1,150.7,922.1,125997.7,126000
read,147.7,659.2,41.1,56.1,59.5,122.7,184.1,1842.5,130535.3,130500
read,180.8,926.4,41.1,56.2,59.6,125.7,269.0,2860.7,134937.3,135000
read,339.5,1928.9,41.1,56.2,59.7,129.3,743.3,6214.5,139663.1,139500
read,807.2,3905.7,41.1,56.7,60.5,131.4,2654.7,21150.6,143769.0,144000
read,1173.9,5622.0,37.4,56.7,60.6,134.3,3489.0,28467.0,147235.5,148500
