#type       avg     min     1st     5th    10th    90th    95th    99th      QPS   target
read      104.1   477.4    45.3    61.3    65.1   114.0   126.8   157.2  19853.8    20000
read       91.9   310.7    45.3    58.7    62.2   109.4   119.4   143.1  39766.3    40000
read       93.1   466.7    45.3    57.0    60.1   102.6   111.2   129.2  59985.2    60000
read       91.4   480.0    41.1    56.8    60.0   103.5   113.2   135.9  79870.5    80000
read       86.1   457.2    41.1    56.0    58.3    98.4   107.8   129.1  99984.6   100000
read       88.2   542.7    41.1    56.0    58.3    97.6   106.6   128.4 119886.6   120000
read       87.2   565.3    41.1    55.5    57.4    96.1   106.3   127.6 139904.9   140000
read       86.5   522.2    41.1    56.1    58.3    95.4   104.7   126.8 159874.2   160000
read       88.3   562.0    45.3    56.0    58.2    94.5   103.7   126.6 180001.2   180000
read       88.2   605.6    37.4    55.6    57.7    93.4   103.7   126.4 200116.5   200000
read       82.1   585.1    41.1    55.6    57.5    92.7   101.6   124.9 220060.8   220000
read       84.1   628.4    37.4    55.6    57.7    92.3   101.5   125.2 240183.0   240000
read       80.2   553.7    41.1    55.9    57.9    91.8    99.8   123.6 260193.4   260000
read       91.1   682.4    41.1    54.9    57.0    93.5   103.3   129.0 279955.8   280000
read       79.0   551.0    41.1    56.1    58.4    91.8    99.6   124.4 299962.1   300000
read       81.7   597.5    37.4    56.0    58.3    92.2   100.6   124.5 319983.6   320000
read       92.7   741.2    37.4    56.2    58.7    92.7   101.1   127.0 339936.4   340000
read       85.1   649.2    45.3    56.2    58.7    92.9   101.3   127.4 359859.0   360000
read       92.4   724.1    37.4    56.4    59.3    94.0   103.7   128.8 380166.1   380000
read       88.6   738.1    41.1    56.1    58.8    93.3   103.1   129.6 399948.7   400000
read       95.6   907.5    37.4    56.5    59.5    95.3   105.8   135.4 419661.1   420000
read       92.2   921.1    37.4    56.8    60.2    95.9   106.0   134.7 440011.9   440000
read       94.1   852.4    41.1    57.8    60.9    95.3   105.1   134.6 460003.5   460000
