#type,avg,min,1st,5th,10th,90th,95th,99th,QPS,target
read,83.2,24.3,41.1,56.7,61.9,108.6,121.2,153.8,4002.5,4000
read,79.8,54.5,37.4,53.3,57.7,102.9,115.6,153.0,8004.4,8000
read,80.4,47.3,37.4,53.5,57.3,104.4,115.6,145.5,11982.9,12000
read,80.3,58.3,37.4,52.6,56.3,104.7,115.7,141.3,16067.6,16000
read,79.5,52.8,37.4,51.9,55.3,105.2,117.0,143.5,19946.9,20000
read,80.0,56.9,37.4,51.8,55.4,107.6,121.6,149.8,24010.1,24000
read,79.4,55.1,37.4,51.7,55.2,110.4,125.2,150.7,27994.2,28000
read,78.5,64.9,37.4,51.6,54.9,107.4,123.1,147.4,32014.0,32000
read,78.7,50.3,37.4,51.8,55.0,109.5,125.7,149.8,35996.3,36000
read,78.9,49.5,37.4,51.3,54.6,112.1,128.6,152.8,39933.1,40000
read,78.1,48.5,37.4,51.1,54.0,110.7,127.1,153.2,43977.4,44000
read,78.8,273.2,37.4,51.3,54.4,110.2,127.9,154.2,48047.2,48000
read,77.9,64.8,37.4,50.9,53.8,109.4,128.7,156.1,52011.7,52000
read,78.6,75.8,37.4,51.0,53.9,109.7,130.1,159.9,55971.2,56000
read,78.6,68.2,37.4,51.0,53.9,108.0,129.5,162.1,60015.3,60000
read,77.5,59.1,37.4,50.5,53.3,109.0,130.9,165.1,64062.1,64000
read,77.1,59.2,37.4,50.6,53.2,108.2,131.3,166.1,68094.1,68000
read,76.9,80.3,37.4,50.1,52.6,105.1,127.5,166.0,71905.2,72000
read,76.5,70.7,34.0,50.1,52.6,105.0,127.8,167.2,76041.0,76000
read,77.2,84.1,37.4,50.5,53.0,105.5,127.3,170.3,80074.8,80000
read,76.1,82.0,37.4,50.3,52.8,105.1,125.5,170.2,84023.5,84000
read,75.9,73.7,37.4,50.3,52.8,105.3,125.7,173.1,88029.2,88000
read,99.7,674.7,37.4,49.9,52.1,105.0,126.2,182.1,91880.6,92000
read,75.2,197.7,37.4,50.0,52.3,104.3,123.6,175.4,95899.1,96000
read,74.8,122.4,37.4,50.2,52.5,103.9,122.1,176.9,99979.9,100000
read,75.5,132.8,37.4,50.1,52.3,102.3,118.4,173.7,103997.3,104000
read,74.0,130.9,37.4,49.8,51.9,102.2,120.2,179.0,108030.4,108000
read,75.5,127.0,37.4,50.0,52.4,103.8,121.6,182.3,111989.6,112000
read,74.7,130.4,37.4,49.9,52.1,102.1,118.3,181.4,116100.7,116000
read,74.7,1911366914471232218957424781388458222632650375279747486468273137981781085509341574074145616056144607058093354043515904630718464.0,37.4,49.7,52.0,103.0,120.5,180.2,120006.5,120000
read,73.6,65.2,37.4,49.3,51.6,102.0,118.7,179.9,123969.3,124000
read,74.2,71.9,37.4,49.6,51.9,102.9,121.6,185.3,127936.5,128000
read,73.9,69.4,37.4,49.9,52.0,103.2,121.0,181.8,132057.3,132000
read,74.5,78.9,37.4,49.9,52.0,101.8,119.3,182.1,136120.0,136000
read,74.5,68.1,37.4,50.1,52.3,103.1,121.6,192.2,139956.9,140000
read,75.0,91.2,34.0,49.8,52.1,102.1,121.6,191.1,144034.9,144000
read,75.0,142.5,37.4,49.9,52.1,101.0,121.0,193.1,148020.2,148000
read,74.0,58.6,37.4,50.0,52.2,100.5,121.1,192.4,151984.3,152000
read,75.0,4492513801919966943208299448927406494133419900317413687293037785371448512187770486555670903857184181243072367650698560050036736.0,37.4,49.9,52.0,100.6,122.3,200.6,156034.1,156000
read,74.0,4521922716276570394915871347414282712811076613989949222127675423128616329956176868977848403075539069260475715223893563985100800.0,37.4,49.8,51.9,101.3,124.0,201.7,159847.9,160000
read,101.5,4501090184654719015530918540455547885281149713401899845738563473164185050504861822783172033746841208754889471994738288514564096.0,37.4,49.8,52.1,101.6,126.5,227.3,164279.2,164000
read,156.5,1071.2,37.4,50.2,52.7,104.9,129.5,291.9,167775.6,168000
read,75.0,193.1,37.4,49.8,52.1,99.0,124.6,215.4,172012.7,172000
read,74.0,192.8,37.4,49.3,51.7,98.7,125.8,224.6,175715.9,176000
read,76.4,217.2,34.0,49.5,51.9,98.7,126.6,244.5,180079.3,180000
read,77.0,112.9,34.0,49.6,51.9,98.7,127.8,239.9,183811.7,184000
read,76.6,76.7,34.0,49.9,52.2,97.8,127.2,249.5,187909.9,188000
read,2146.9,13384.7,37.4,56.0,60.8,172.8,288.6,69223.1,191588.1,192000
read,717.0,10267.8,37.4,50.5,53.4,127.4,171.6,23782.1,195718.4,196000
read,2416.0,20621.9,37.4,55.8,60.5,187.0,349.4,69315.3,199774.7,200000
read,2253.1,20177.9,37.4,55.3,59.7,181.2,341.9,61049.9,203670.8,204000
read,3054.3,27741.4,37.4,57.9,64.3,209.3,347.6,88469.1,207399.6,208000
read,3088.4,24924.3,37.4,57.7,63.9,202.0,309.5,124132.5,211875.8,212000
read,3305.0,24946.6,37.4,57.4,63.2,194.9,313.0,110537.0,215221.3,216000
read,2671.9,4500973960003362639026103936443133189572692278702160520011383245287634901446914863223996118599301849766261411525075754503110656.0,37.4,58.9,65.9,223.6,314.2,99931.5,219672.6,220000
read,2672.3,26855.7,37.4,58.8,65.4,224.2,309.5,90307.1,223866.9,224000
read,2237.0,30906.3,37.4,61.8,71.3,257.2,369.2,42749.6,227528.9,228000
read,2482.5,69640.5,37.4,61.3,70.8,299.2,522.0,50186.2,231860.2,232000
read,3127.5,40354.4,37.4,58.0,64.4,220.0,314.6,80377.4,235182.2,236000
read,672.8,27131.5,37.4,64.8,76.3,263.7,299.5,557.0,239087.7,240000
read,1567.8,37584.1,37.4,63.1,73.8,265.2,327.0,516.1,244261.1,244000
read,1793.0,31152.7,34.0,57.5,63.9,270.9,386.7,39074.0,247950.1,248000
