#type,avg,min,1st,5th,10th,90th,95th,99th,QPS,target
read,103.2,514.7,41.1,58.7,62.6,106.1,118.1,152.4,19968.6,20000
read,98.4,537.5,41.1,57.3,60.7,104.0,113.1,136.6,39784.0,40000
read,89.6,501.0,41.1,56.5,59.3,101.3,109.1,131.5,59956.8,60000
read,93.7,602.2,41.1,56.0,58.3,99.4,107.5,128.1,79904.5,80000
read,82.8,410.8,45.3,55.5,57.7,96.9,106.3,127.0,100027.2,100000
read,86.8,537.0,37.4,55.6,57.8,96.5,105.7,127.9,119903.2,120000
read,82.7,534.0,37.4,55.2,56.9,95.7,105.8,127.5,139999.7,140000
read,82.2,462.4,41.1,55.4,57.2,93.5,103.1,123.3,159972.6,160000
read,82.4,593.3,37.4,55.2,57.0,94.8,105.7,128.0,179918.0,180000
read,80.0,583.9,37.4,55.4,57.1,92.1,101.6,124.3,200083.3,200000
read,80.6,532.3,41.1,55.0,56.6,90.9,102.3,126.0,220021.2,220000
read,88.0,534.0,41.1,55.3,57.1,91.3,101.0,124.9,240188.3,240000
read,88.1,562.3,41.1,55.4,57.1,89.2,97.6,120.7,259951.5,260000
read,78.7,399.7,41.1,55.3,57.1,89.2,99.4,124.5,279899.6,280000
read,86.1,566.7,41.1,55.6,57.6,90.2,97.1,123.0,300095.1,300000
read,83.3,490.0,41.1,55.4,57.3,88.9,98.5,124.1,319906.7,320000
read,79.2,386.1,41.1,55.9,58.0,90.4,96.9,121.1,339804.1,340000
read,84.8,447.7,37.4,55.4,57.4,91.1,99.6,126.8,359691.2,360000
read,88.1,489.5,41.1,56.3,58.9,91.6,98.5,124.3,379933.0,380000
read,86.3,494.0,37.4,56.2,59.0,93.9,104.2,131.0,400292.7,400000
read,91.0,516.6,37.4,56.6,59.6,93.6,101.1,125.3,420173.0,420000
read,94.8,605.9,41.1,56.4,59.2,94.7,105.0,130.0,440077.0,440000
read,85.5,534.5,37.4,56.8,59.9,92.8,101.5,124.9,459827.7,460000
read,94.6,673.5,37.4,57.1,60.4,94.9,104.4,131.3,480072.2,480000
read,83.6,583.3,41.1,57.7,60.9,95.7,104.9,128.7,500018.3,500000
read,90.5,568.5,41.1,57.7,60.8,96.3,105.9,133.2,520033.6,520000
read,87.8,429.5,41.1,58.5,61.6,96.8,106.1,132.2,540107.6,540000
read,95.3,585.6,41.1,58.4,61.4,98.8,108.9,137.1,559980.8,560000
read,90.5,500.1,45.3,59.6,62.3,99.0,108.0,131.8,579688.0,580000
read,97.4,583.3,41.1,60.2,62.7,102.7,113.9,148.5,599818.7,600000
read,99.8,594.1,41.1,59.5,62.4,103.3,113.5,140.7,619804.1,620000
read,98.4,494.1,45.3,61.2,64.5,105.0,115.1,143.8,639792.3,640000
read,99.5,559.4,41.1,60.3,63.0,104.2,114.3,143.3,660019.7,660000
read,103.4,564.4,41.1,60.7,63.7,107.5,119.2,152.1,680122.3,680000
read,101.0,619.8,41.1,61.0,64.3,109.7,121.7,155.1,699947.8,700000
read,104.3,646.9,45.3,61.4,65.1,110.1,122.2,154.7,719859.8,720000
read,117.3,728.0,37.4,61.2,65.0,112.5,126.2,168.4,739845.4,740000
read,107.6,714.2,41.1,61.5,65.4,111.5,123.1,151.2,759449.0,760000
read,110.2,623.1,45.3,62.0,66.2,112.5,124.2,164.3,780029.3,780000
read,127.8,832.1,41.1,62.4,66.8,114.9,127.5,167.7,799860.6,800000
read,112.6,723.7,45.3,62.4,66.7,115.7,128.5,168.5,819974.9,820000
read,111.9,801.2,41.1,63.3,67.8,115.9,127.9,168.5,839693.0,840000
read,122.3,929.6,41.1,63.5,68.3,118.1,132.7,175.1,859917.5,860000
read,123.6,929.3,45.3,64.0,68.6,122.5,138.0,180.1,879931.2,880000
read,137.1,916.3,45.3,63.7,68.6,123.1,138.7,205.7,900273.3,900000
read,108.1,818.7,45.3,64.5,69.7,122.9,136.6,168.2,919886.9,920000
read,141.4,966.1,41.1,64.7,69.9,125.7,140.7,303.4,939902.6,940000
read,137.5,965.2,45.3,65.3,70.4,128.6,145.3,209.9,960074.8,960000
read,135.8,882.3,45.3,65.4,70.6,130.3,147.8,227.4,979692.7,980000
read,146.8,1005.3,41.1,67.2,72.9,134.7,151.5,238.1,1000199.5,1000000
read,161.9,1018.4,45.3,67.1,72.9,135.1,152.8,2393.2,1020029.2,1020000
read,129.2,929.1,45.3,67.7,73.5,135.5,151.0,199.1,1040210.9,1040000
read,181.0,1128.5,45.3,68.4,74.6,142.6,161.9,2885.1,1060168.8,1060000
read,167.0,1100.7,49.8,68.7,74.7,141.6,159.6,1810.5,1079938.7,1080000
read,155.3,1018.3,45.3,68.9,74.9,143.2,162.7,1808.0,1099871.0,1100000
read,188.3,1202.0,45.3,69.7,75.8,148.8,170.3,3022.3,1119708.9,1120000
read,153.4,1136.9,41.1,70.3,76.2,149.4,168.3,248.8,1140128.7,1140000
read,207.8,1220.4,45.3,71.7,77.7,153.3,180.1,3808.3,1160311.3,1160000
read,157.0,1098.0,49.8,73.0,78.5,154.4,175.4,298.7,1179868.3,1180000
read,198.0,1232.9,49.8,73.0,79.1,159.0,185.4,3554.1,1200076.2,1200000
read,199.2,1341.2,41.1,73.2,79.6,163.5,188.5,2985.9,1219988.5,1220000
read,212.7,1361.0,49.8,74.6,81.2,167.7,196.4,3665.4,1239900.8,1240000
read,203.1,1363.7,45.3,75.0,81.6,170.5,200.9,2968.8,1259898.4,1260000
read,252.9,1479.4,45.3,75.7,82.7,179.9,215.0,4276.9,1279752.6,1280000
read,357.8,1558.9,45.3,76.6,83.8,206.0,2330.9,5020.6,1299840.0,1300000
read,247.9,1637.0,41.1,76.5,84.1,187.8,226.3,4109.9,1320194.6,1320000
read,182.0,966.9,49.8,77.8,84.9,185.6,213.8,2024.0,1340175.1,1340000
read,222.1,954.4,49.8,79.7,86.3,193.3,230.5,3779.6,1359754.1,1360000
read,278.0,1144.7,45.3,81.1,88.5,204.8,259.6,4481.1,1379922.4,1380000
read,258.1,1911.7,49.8,81.4,89.4,207.6,252.2,3723.1,1400139.5,1400000
read,266.8,1965.5,49.8,82.5,91.0,216.2,264.6,3925.1,1419838.3,1420000
read,380.0,5228.1,49.8,83.8,92.8,221.0,274.3,4043.5,1439684.1,1440000
read,228.6,2380.2,49.8,84.4,93.9,225.0,270.5,3048.6,1458727.9,1460000
read,313.9,1297.2,49.8,85.5,95.3,246.1,339.7,4627.7,1478119.5,1480000
read,239.7,984.4,49.8,87.2,97.2,243.8,297.0,3393.4,1498581.4,1500000
read,323.9,2391.5,49.8,88.4,99.1,260.7,341.7,4258.3,1517304.5,1520000
read,322.6,2538.0,45.3,90.9,102.0,278.9,366.8,3900.1,1537097.4,1540000
read,311.9,1095.5,49.8,92.9,104.1,298.0,409.2,4009.2,1556360.8,1560000
read,404.6,1406.8,49.8,96.6,107.8,348.2,1770.5,4760.0,1576192.8,1580000
read,378.3,2575.9,49.8,96.8,109.1,332.5,497.6,4367.5,1595631.6,1600000
read,321.7,1885.0,49.8,100.2,113.1,345.2,443.9,3493.5,1614714.1,1620000
read,452.2,1510.1,54.8,102.3,116.1,432.9,2179.2,5240.4,1634252.3,1640000
read,381.2,1478.0,45.3,105.7,118.9,412.2,595.2,4010.6,1653576.7,1660000
read,563.3,1661.6,49.8,107.7,122.4,705.8,2661.4,5573.6,1672986.7,1680000
read,401.2,2018.4,49.8,111.3,126.4,489.2,708.2,3639.1,1692632.3,1700000
read,558.7,2167.8,54.8,115.5,132.6,843.5,2379.9,4803.7,1712288.2,1720000
read,608.3,2125.5,49.8,120.6,139.4,1267.4,2502.2,4312.7,1731681.9,1740000
read,777.3,2363.3,54.8,123.7,144.5,2021.2,2920.3,5973.5,1750075.4,1760000
read,889.1,2977.7,54.8,126.6,149.1,2181.3,3045.2,6967.8,1768452.6,1780000
read,1119.1,2486.5,60.2,131.7,155.2,2924.4,3519.7,5815.6,1781123.8,1800000
read,1195.7,2551.1,60.2,142.1,170.6,2875.8,3458.3,6065.8,1800810.5,1820000
read,1527.1,2453.2,60.2,158.3,200.1,3187.6,3638.3,16263.9,1819244.4,1840000
read,1573.8,2534.4,54.8,154.7,195.3,3163.0,3564.8,15348.8,1836662.6,1860000
read,2016.2,2754.7,60.2,180.9,252.8,3443.6,3830.6,17021.8,1846795.4,1880000
read,2156.1,3463.0,49.8,159.9,223.1,3455.8,3804.5,17198.6,1859666.6,1900000
read,2489.8,2752.2,60.2,238.9,467.7,3518.2,3812.2,17142.5,1876346.4,1920000
read,2700.0,2873.9,54.8,186.1,534.3,3585.7,3824.4,16227.9,1870702.2,1940000
read,2969.8,3993.3,60.2,440.1,1806.0,3583.5,3861.8,17635.5,1884965.1,1960000
read,3129.4,4119.0,66.3,1874.2,1994.2,3558.8,3821.2,17651.2,1907386.6,1980000
read,3081.6,3227.7,54.8,1905.7,2026.2,3545.7,3747.0,17491.0,1907448.6,2000000
