#type,avg,min,1st,5th,10th,90th,95th,99th,QPS,target
read,90.2,337.1,41.1,60.9,65.5,105.1,113.0,129.1,9922.1,10000
read,90.8,462.0,41.1,58.7,62.6,105.5,114.6,134.6,19945.7,20000
read,90.9,566.4,41.1,57.5,60.9,103.9,112.3,132.9,29998.9,30000
read,88.8,597.7,37.4,56.6,59.5,100.5,106.7,127.3,39967.6,40000
read,84.5,535.9,37.4,56.1,58.6,98.3,105.6,125.0,49872.1,50000
read,83.5,559.6,41.1,55.7,57.9,97.1,105.3,124.8,59998.0,60000
read,84.4,591.6,37.4,55.6,57.7,96.7,104.9,124.2,70020.7,70000
read,82.6,545.3,41.1,55.5,57.4,96.1,104.4,123.8,80037.6,80000
read,84.4,595.0,37.4,55.5,57.5,96.0,104.5,124.4,89997.1,90000
read,82.4,619.1,41.1,55.1,56.8,95.0,103.5,123.3,99981.1,100000
read,82.7,597.6,37.4,55.1,56.7,94.6,103.3,122.8,109995.2,110000
read,82.2,596.4,41.1,55.0,56.6,94.3,103.0,122.9,119999.6,120000
read,81.7,566.7,41.1,55.1,56.6,93.5,102.5,121.9,129980.6,130000
read,79.4,503.3,41.1,55.1,56.6,92.8,101.9,121.6,139951.7,140000
read,83.4,602.5,37.4,55.3,56.9,93.1,101.7,122.2,149973.3,150000
read,77.9,496.9,37.4,55.0,56.5,92.4,100.6,120.5,160008.4,160000
read,77.2,565.5,41.1,55.0,56.4,89.8,99.7,120.2,170015.9,170000
read,86.2,714.4,37.4,55.2,56.7,91.3,99.3,120.0,180030.3,180000
read,78.7,584.0,41.1,55.1,56.6,89.3,98.0,119.2,190009.0,190000
read,78.5,608.2,37.4,55.1,56.5,89.3,97.4,118.9,199965.1,200000
read,76.6,608.7,41.1,55.0,56.4,88.1,96.6,117.5,209933.5,210000
read,81.7,704.0,37.4,55.2,56.7,89.1,96.3,116.8,219988.4,220000
read,76.9,689.4,37.4,55.1,56.6,87.7,95.9,116.6,229845.9,230000
read,78.0,792.7,37.4,55.1,56.6,87.4,95.2,116.1,239911.3,240000
read,78.8,851.4,37.4,55.1,56.4,87.0,94.8,116.0,249866.0,250000
read,78.2,831.2,41.1,55.1,56.5,87.2,94.6,115.5,260008.6,260000
read,75.1,797.3,37.4,55.2,56.7,87.1,94.7,115.5,269964.7,270000
read,78.7,850.6,41.1,55.3,56.9,87.5,94.7,115.1,280009.8,280000
read,91.7,1019.7,41.1,55.3,56.9,87.1,94.2,115.4,290028.6,290000
read,78.1,854.9,37.4,55.3,56.9,86.2,93.5,114.8,299929.0,300000
read,80.4,908.4,37.4,55.3,56.9,86.0,92.9,114.2,309985.9,310000
read,75.6,814.5,41.1,55.4,57.1,87.0,93.9,114.2,319975.7,320000
read,80.0,955.2,41.1,55.2,56.7,85.9,92.7,114.0,330069.3,330000
read,79.1,927.8,37.4,55.4,57.1,86.9,93.7,113.5,340069.2,340000
read,78.0,913.9,41.1,55.5,57.3,87.0,93.6,113.7,350130.1,350000
read,89.5,1080.6,41.1,55.5,57.3,87.0,94.0,115.0,360011.0,360000
read,79.4,971.8,37.4,55.5,57.3,87.4,94.4,114.1,370025.7,370000
read,82.3,1065.1,41.1,55.6,57.4,86.7,93.9,113.4,380053.4,380000
read,80.6,1051.8,37.4,55.8,57.8,87.4,94.5,114.5,390013.2,390000
read,81.3,1093.4,41.1,55.6,57.6,87.8,94.8,114.3,400081.8,400000
read,81.4,1092.1,37.4,55.7,57.8,87.5,94.9,115.0,410053.4,410000
read,83.6,1124.2,41.1,55.9,58.1,88.2,95.5,115.3,419998.0,420000
read,82.3,1147.1,37.4,55.9,58.0,88.7,95.7,115.3,429915.2,430000
read,85.1,1189.4,41.1,56.1,58.4,89.5,96.0,116.2,440027.7,440000
read,84.5,1175.8,41.1,56.1,58.4,89.6,96.2,116.2,449955.6,450000
read,84.0,1189.9,37.4,56.1,58.5,90.1,96.5,116.5,460032.9,460000
read,86.4,1254.6,41.1,56.3,58.8,90.3,96.8,116.9,469983.6,470000
read,86.2,1227.4,37.4,56.2,58.6,90.4,97.4,118.9,480107.4,480000
read,83.6,1240.5,37.4,56.2,58.7,90.5,97.4,117.9,489939.0,490000
read,85.4,1272.9,37.4,56.6,59.5,92.7,98.9,119.4,499998.7,500000
read,95.4,1403.0,41.1,56.4,59.1,91.7,98.5,119.3,510010.4,510000
read,88.9,1436.0,41.1,56.8,59.9,92.7,99.6,121.1,519929.2,520000
read,87.7,1432.6,37.4,56.7,59.6,92.7,100.4,120.8,530115.9,530000
read,90.2,1457.4,37.4,57.0,60.3,93.5,100.8,121.8,540141.3,540000
read,91.3,1477.8,41.1,57.0,60.2,93.7,101.2,122.8,550082.9,550000
read,93.9,1549.3,41.1,57.1,60.3,94.5,102.7,124.7,559850.6,560000
read,91.7,1136.4,41.1,57.3,60.5,95.2,103.1,125.5,569847.8,570000
read,91.6,1138.4,41.1,57.3,60.6,95.2,103.3,125.5,579830.0,580000
read,92.9,1179.0,41.1,57.6,60.9,95.6,103.9,126.4,590025.0,590000
read,95.4,798.8,41.1,57.8,61.0,96.0,104.5,126.8,599899.1,600000
read,97.0,870.4,41.1,57.3,60.6,95.9,104.3,126.9,610075.4,610000
read,92.4,649.9,37.4,57.8,61.1,96.3,104.8,128.0,619875.4,620000
read,92.0,657.4,37.4,57.8,61.1,96.6,105.2,128.4,629944.5,630000
read,92.2,622.7,41.1,57.9,61.1,97.0,105.5,128.4,640031.1,640000
read,93.1,674.5,37.4,57.8,61.1,97.4,106.0,129.2,650009.9,650000
read,92.9,668.8,37.4,58.9,62.0,98.3,106.3,129.1,659965.4,660000
read,108.7,860.9,41.1,58.8,62.0,99.2,107.2,134.4,670173.7,670000
read,99.8,830.2,41.1,58.8,61.9,100.0,108.3,133.7,679881.3,680000
read,99.5,836.7,41.1,58.7,61.9,100.6,109.2,135.9,690031.7,690000
read,100.8,841.2,41.1,59.6,62.6,101.0,109.6,136.2,700257.5,700000
read,98.8,850.8,41.1,58.8,61.9,101.7,110.4,136.1,710121.0,710000
read,104.2,880.2,37.4,59.5,62.5,102.5,111.7,140.4,719934.4,720000
read,99.1,755.3,41.1,60.2,63.0,103.0,112.3,140.2,730077.3,730000
read,107.6,929.1,41.1,59.5,62.7,103.1,112.6,140.3,740169.8,740000
read,103.8,886.9,41.1,59.4,62.5,103.6,113.1,140.8,750331.4,750000
read,104.6,810.6,41.1,59.8,62.8,104.2,114.0,142.3,760004.0,760000
read,125.8,1123.9,37.4,60.3,63.3,105.0,115.1,148.6,770113.0,770000
read,107.7,817.9,41.1,60.3,63.2,105.0,115.3,147.5,779884.2,780000
read,108.0,873.7,41.1,60.5,63.6,105.4,115.3,146.3,789816.2,790000
read,105.7,835.9,41.1,60.8,64.1,106.3,116.7,149.5,799868.6,800000
read,112.3,919.7,41.1,60.6,64.0,106.7,116.9,150.5,809998.2,810000
read,114.8,904.1,41.1,60.9,64.4,107.5,117.9,152.5,820212.6,820000
read,118.0,998.4,41.1,61.2,64.9,108.7,119.1,153.1,829952.5,830000
read,116.7,926.2,41.1,61.1,64.9,109.1,119.8,154.3,840102.7,840000
read,123.0,994.5,37.4,61.3,65.2,109.9,120.9,155.0,850038.4,850000
read,125.2,984.1,41.1,61.4,65.4,110.8,121.9,157.5,860142.4,860000
read,118.8,913.5,41.1,61.3,65.3,111.2,122.4,156.6,870116.8,870000
read,127.6,978.2,37.4,61.5,65.5,112.1,123.8,165.2,880009.4,880000
read,137.1,1070.6,41.1,61.7,65.9,113.3,124.9,168.8,890071.7,890000
read,130.4,1056.2,41.1,61.7,65.8,113.5,125.2,163.6,900249.0,900000
read,137.2,1138.5,41.1,62.3,67.0,114.3,126.6,168.3,909974.1,910000
read,136.4,1172.9,41.1,62.2,66.7,115.1,127.4,173.0,919696.2,920000
read,141.3,1255.1,37.4,62.3,66.9,115.6,128.1,180.4,929936.4,930000
read,139.8,1277.3,41.1,62.4,67.1,116.1,128.6,175.1,939879.5,940000
read,142.3,1239.3,41.1,62.6,67.2,116.7,129.3,180.2,950225.6,950000
read,148.1,1159.3,41.1,62.9,67.7,117.8,131.9,185.7,960164.7,960000
read,149.6,1243.4,41.1,63.2,68.1,118.7,132.4,183.1,969902.7,970000
read,140.4,1158.1,41.1,63.5,68.5,119.7,133.9,183.8,979812.3,980000
read,154.8,1207.2,41.1,63.4,68.3,120.6,135.5,196.9,989913.1,990000
read,155.5,1293.6,41.1,63.5,68.4,121.5,135.6,191.3,999949.3,1000000
read,176.8,1520.9,41.1,63.3,68.4,122.9,138.1,203.3,1010257.2,1010000
read,170.7,1370.2,41.1,64.2,69.5,123.8,138.8,216.8,1019988.6,1020000
read,164.5,1332.1,41.1,64.3,69.6,124.3,139.0,205.3,1029835.1,1030000
read,161.5,1322.6,41.1,64.4,69.8,125.7,140.7,205.0,1039979.1,1040000
read,165.9,1421.1,41.1,64.7,70.0,126.5,142.0,211.2,1050156.5,1050000
read,178.1,1470.7,41.1,64.5,70.0,126.8,142.8,236.9,1059868.4,1060000
read,164.1,1315.3,45.3,65.4,70.8,127.9,145.0,213.5,1069866.9,1070000
read,169.6,1322.7,41.1,64.9,70.3,129.0,146.8,236.0,1080040.4,1080000
read,192.0,1445.5,37.4,65.5,71.2,130.0,147.7,318.2,1089856.9,1090000
read,178.7,1433.7,41.1,65.9,71.5,131.0,148.9,225.6,1099783.7,1100000
read,188.9,1566.6,41.1,65.8,71.6,133.1,151.2,360.1,1109976.9,1110000
read,180.7,1559.1,41.1,66.4,72.5,133.7,151.6,246.7,1119935.4,1120000
read,189.3,1618.3,37.4,66.7,72.7,135.4,153.1,272.9,1130013.5,1130000
read,185.4,1685.8,45.3,67.0,73.2,136.8,154.6,266.6,1140118.1,1140000
read,202.9,1825.6,41.1,67.8,73.9,138.0,156.0,724.7,1149960.6,1150000
read,195.1,1961.1,41.1,67.8,73.9,139.3,157.8,345.1,1159981.2,1160000
read,194.9,1994.7,41.1,67.8,74.0,139.7,158.3,328.8,1169885.1,1170000
read,204.2,2094.1,41.1,68.4,74.6,141.4,162.1,707.2,1180046.3,1180000
read,197.7,2082.0,41.1,68.4,74.6,142.7,163.8,628.6,1190066.7,1190000
read,208.3,2115.7,41.1,68.8,75.0,143.5,164.8,678.4,1199976.3,1200000
read,216.2,2185.4,41.1,68.7,75.0,144.9,166.2,1073.5,1210147.1,1210000
