#type,avg,min,1st,5th,10th,90th,95th,99th,QPS,target
read,96.7,551.3,45.3,60.4,64.1,107.0,115.3,134.4,17992.6,18000
read,92.1,614.3,45.3,58.1,61.4,103.5,110.5,127.3,36044.9,36000
read,89.1,626.0,45.3,57.2,60.4,103.7,112.1,128.5,54078.1,54000
read,85.9,543.4,41.1,56.9,60.0,102.4,110.7,127.8,71948.0,72000
read,102.0,916.0,41.1,56.7,59.5,101.7,110.5,129.9,89950.5,90000
read,89.3,577.0,45.3,56.4,59.1,100.8,109.8,128.0,108097.5,108000
read,81.7,482.2,41.1,56.3,58.9,98.4,107.7,127.9,126038.9,126000
read,83.5,628.8,45.3,56.3,58.9,98.4,107.2,128.2,143897.8,144000
read,83.5,570.0,41.1,56.2,58.6,96.6,106.2,127.2,162095.4,162000
read,76.5,508.6,41.1,55.9,57.9,93.8,103.1,124.7,180034.2,180000
read,77.8,4054069395984408115265856723384510541241390105717686345495075406452405697961579837880929655252293755562363566686208.0,41.1,55.9,58.1,95.1,104.0,124.9,198140.4,198000
read,81.9,344.6,41.1,56.4,58.8,94.5,103.0,124.0,216165.9,216000
read,76.9,292.7,45.3,56.0,58.4,93.6,101.7,122.5,233905.7,234000
read,79.2,166.3,41.1,56.7,59.4,94.5,102.2,122.7,252029.1,252000
read,75.1,61.2,41.1,56.2,58.7,93.8,101.9,121.0,270125.0,270000
read,77.8,151.9,45.3,56.7,59.5,94.3,101.9,122.2,288048.3,288000
read,76.2,171.4,41.1,56.5,59.1,94.5,102.2,120.6,305988.4,306000
read,81.1,326.7,45.3,57.0,59.9,94.2,102.2,120.7,324062.4,324000
read,79.6,164.4,45.3,57.2,60.4,95.2,103.0,121.7,341898.5,342000
read,78.6,132.9,41.1,57.2,60.3,95.8,103.8,122.8,359916.5,360000
read,82.0,318.0,45.3,57.8,60.9,96.5,104.5,123.6,378085.3,378000
read,80.0,1117187353478479631053745121184880767558969017368862881435329256369326206793407524183325278208.0,41.1,57.9,61.0,96.5,104.6,123.8,396074.3,396000
read,79.2,66.2,45.3,58.6,61.5,97.8,105.4,123.6,414263.0,414000
read,83.0,251.7,37.4,58.6,61.5,99.0,106.2,126.6,431924.8,432000
read,83.0,246.5,41.1,58.9,61.9,100.3,108.1,127.9,449901.0,450000
read,86.8,379.4,41.1,59.0,61.9,100.8,108.1,127.6,467825.4,468000
read,83.9,306.6,45.3,59.8,62.4,101.8,109.8,129.1,485788.1,486000
read,83.4,250.9,41.1,60.4,62.9,102.7,111.2,131.6,503964.4,504000
read,83.0,274.7,45.3,59.8,62.5,101.9,110.3,131.1,522093.7,522000
read,87.0,371.0,45.3,60.7,63.6,104.9,113.6,136.6,539645.6,540000
read,85.7,296.4,41.1,60.6,63.5,105.4,114.2,134.8,558164.6,558000
read,87.6,251.7,45.3,61.6,65.2,105.9,114.6,136.9,576004.8,576000
