#type,avg,min,1st,5th,10th,90th,95th,99th,QPS,target
read,353.7,3012.2,41.1,60.2,63.6,106.1,117.4,3820.2,17964.4,18000
read,381.4,3345.6,41.1,58.8,62.1,105.0,116.1,7570.7,36063.1,36000
read,365.5,3368.9,41.1,57.1,60.2,103.7,114.5,3472.2,54102.8,54000
read,370.1,3622.4,41.1,56.5,59.3,103.1,114.5,2057.6,72039.9,72000
read,339.7,3557.3,41.1,56.5,59.1,102.3,114.5,207.1,89939.8,90000
read,348.6,3572.8,41.1,56.2,58.6,101.6,114.7,3950.0,107983.1,108000
read,338.5,3469.1,45.3,56.2,58.5,100.4,113.5,2228.7,126037.1,126000
read,337.3,3689.7,41.1,56.1,58.3,96.9,110.6,187.8,143949.0,144000
read,340.3,3444.7,41.1,56.1,58.4,96.6,110.5,1589.8,162017.4,162000
read,315.8,3545.1,41.1,55.7,57.7,94.9,106.5,158.5,179817.6,180000
read,406.8,3862.9,41.1,55.8,57.8,94.0,109.0,9668.0,197843.1,198000
read,357.8,3622.5,41.1,55.8,57.9,93.8,107.3,4873.5,216083.8,216000
read,387.9,3833.6,41.1,55.9,58.0,93.0,108.3,6621.6,234055.2,234000
read,332.1,3826.3,41.1,55.9,58.1,93.6,104.3,236.5,252202.1,252000
read,379.9,61466398917467267222638740377126176235189671334893469479721315818123403229738339825494366655927077921374385663187825459200.0,45.3,56.1,58.3,93.8,105.8,5924.0,269936.5,270000
read,332.0,3542.5,41.1,56.3,58.8,93.3,104.6,220.2,287692.2,288000
read,380.9,3613.1,41.1,56.3,58.9,92.2,104.2,4942.1,306083.8,306000
read,381.3,3747.6,41.1,56.6,59.3,93.5,105.0,7206.0,324104.2,324000
read,314.3,3523.9,41.1,56.4,59.0,92.5,103.2,198.1,342523.6,342000
read,324.1,3654.0,45.3,56.6,59.4,92.3,103.5,177.4,360119.2,360000
read,304.6,3508.0,41.1,56.9,59.8,93.9,104.6,183.7,377991.3,378000
