#type,avg,min,1st,5th,10th,90th,95th,99th,QPS,target
read,84.3,73.5,41.1,57.6,61.5,104.0,111.4,127.4,18022.5,18000
read,83.2,281.0,41.1,56.2,59.0,101.4,108.0,127.3,35985.6,36000
read,77.7,65.7,41.1,55.5,57.6,99.5,106.8,125.0,53963.7,54000
read,76.5,82.1,41.1,54.9,56.7,97.0,105.4,123.5,72096.8,72000
read,77.1,383.4,41.1,54.8,56.5,96.3,104.7,122.3,90089.4,90000
read,73.9,95.3,41.1,54.8,56.3,95.4,103.9,122.1,107976.8,108000
read,72.8,79.1,41.1,54.3,56.1,93.7,102.6,121.3,126046.0,126000
read,78.0,554.3,41.1,53.7,55.8,92.9,102.9,122.5,143982.9,144000
read,70.3,296.2,41.1,53.0,55.4,89.3,99.2,117.8,162083.1,162000
read,70.4,75.3,41.1,53.5,55.6,90.6,98.8,117.0,179916.8,180000
read,71.7,88.0,41.1,54.2,56.0,90.2,98.1,116.9,198026.3,198000
read,70.0,279.4,41.1,53.5,55.6,86.7,95.2,116.3,215947.8,216000
read,69.1,65.6,41.1,53.9,55.7,86.5,94.9,115.3,233955.9,234000
read,102.2,855.8,41.1,53.5,55.6,87.0,95.0,116.5,251963.0,252000
read,72.9,389.3,37.4,54.4,56.0,86.6,94.0,114.2,269970.1,270000
read,69.6,305.5,41.1,54.2,55.8,85.8,91.5,112.4,288058.1,288000
read,69.2,108.1,41.1,54.6,56.1,85.6,92.6,111.5,305929.0,306000
read,68.7,284.1,41.1,54.0,55.9,83.0,91.0,111.9,323902.6,324000
read,69.2,63.9,37.4,54.3,56.0,85.2,93.2,112.3,342009.7,342000
read,70.5,61.6,41.1,54.9,56.4,87.2,94.0,111.1,359878.2,360000
read,74.9,311.3,41.1,55.0,56.6,88.2,95.0,112.0,377710.1,378000
read,72.3,560.8,37.4,54.9,56.4,86.1,92.9,112.9,396244.8,396000
read,75.1,491.0,41.1,55.0,56.6,85.7,93.3,112.8,414215.5,414000
read,77.1,487.1,41.1,55.4,57.3,87.7,95.7,115.3,431762.1,432000
read,73.9,291.0,41.1,55.6,57.6,91.0,96.5,114.4,449893.5,450000
read,73.6,305.4,41.1,55.3,57.2,88.5,96.1,115.6,467896.3,468000
read,75.4,484.6,37.4,55.7,57.9,89.7,96.9,116.5,485667.8,486000
read,77.8,411.8,41.1,56.2,58.7,92.3,99.6,119.0,504082.6,504000
read,75.4,179.2,41.1,55.9,58.2,91.4,99.3,119.2,521913.9,522000
read,76.6,211.2,41.1,56.2,58.8,92.0,101.3,123.6,540208.5,540000
read,75.3,148.2,41.1,56.3,59.0,93.5,102.4,122.7,558131.6,558000
read,76.3,131.5,37.4,56.3,59.1,95.0,104.0,125.8,575869.5,576000
read,77.1,92.8,41.1,56.8,60.0,96.0,105.0,125.6,593935.8,594000
read,77.1,109.6,41.1,56.7,59.7,95.8,105.2,126.3,611984.0,612000
