#type,avg,min,1st,5th,10th,90th,95th,99th,QPS,target
read,78.9,12.8,41.1,59.8,64.1,95.2,101.0,115.9,5737.9,6000
read,84.2,57.6,45.3,58.7,64.0,102.2,109.0,126.7,11946.9,12000
read,78.4,50.3,45.3,56.3,59.4,95.0,101.5,120.1,17930.1,18000
read,98.3,502.2,41.1,55.7,58.3,96.5,104.6,124.9,23902.2,24000
read,91.2,488.6,45.3,55.7,58.4,96.8,105.3,126.6,29882.0,30000
read,77.1,54.8,45.3,55.2,57.5,95.7,102.9,116.9,36020.5,36000
read,104.2,496.7,45.3,54.8,57.0,95.7,104.7,128.1,42086.8,42000
read,104.1,684.7,41.1,54.9,57.1,96.3,104.1,123.1,48040.1,48000
read,96.8,661.1,45.3,54.4,56.3,95.6,104.1,125.4,54048.4,54000
read,89.0,456.3,41.1,52.9,55.7,95.7,104.5,127.1,59955.5,60000
read,85.4,303.9,45.3,53.3,55.9,95.6,104.5,125.9,66016.9,66000
read,197.6,1507.0,41.1,53.2,55.7,96.2,106.6,151.0,71940.9,72000
read,111.0,1147.3,45.3,53.7,56.0,96.1,104.8,126.5,78007.1,78000
read,157.7,1265.4,41.1,53.2,55.7,96.3,106.2,139.1,83991.4,84000
read,280.3,2144.6,41.1,53.0,55.7,97.4,108.7,7653.9,90019.4,90000
read,245.5,1962.3,41.1,52.9,55.6,96.5,107.3,5185.0,96009.3,96000
read,258.1,1983.9,45.3,53.1,55.6,99.1,112.8,6875.6,102027.5,102000
read,567.4,3848.5,41.1,52.6,55.3,100.9,116.6,17208.1,107919.2,108000
read,750.6,4835.3,41.1,52.4,55.1,101.5,117.3,27638.7,113988.9,114000
read,1038.1,6146.3,41.1,53.0,55.6,99.9,126.3,34322.5,119725.0,120000
read,1586.1,7677.6,41.1,52.5,55.2,108.4,9412.3,41962.7,125967.6,126000
read,2197.0,9536.5,41.1,52.9,55.5,114.8,19414.3,47622.0,131797.8,132000
read,3546.4,11839.4,41.1,53.1,55.6,13057.9,32617.6,56662.3,138137.6,138000
read,7822.0,16931.1,41.1,52.8,55.7,34320.4,43282.4,64678.2,142936.9,144000
read,7328.1,17455.8,37.4,52.9,55.7,33291.5,42422.6,64284.4,148444.5,150000
read,33063.0,20356.9,45.3,70.0,166.1,56083.5,62564.0,69199.2,134297.9,156000
read,37323.8,23299.3,49.8,5745.3,23895.3,57380.8,63257.8,69645.3,132427.7,162000
read,38776.6,24622.5,54.8,23163.2,25235.1,57062.9,63151.2,70176.1,132443.6,168000
read,39618.6,27935.1,13780.6,24590.3,25720.6,57669.7,63330.7,71729.8,131850.2,174000
read,39447.9,28176.0,4390.9,24529.7,25595.5,57647.7,63736.9,72366.0,132359.2,180000
read,39617.2,29460.6,9412.3,24736.4,25837.8,57388.6,64128.6,71433.7,131395.5,186000
read,39538.5,28450.0,117.4,24546.6,25604.2,57723.7,63416.3,71893.2,132388.0,192000
read,39719.9,31459.9,106.7,24644.5,25745.9,58456.1,64071.3,72402.0,132119.9,198000
read,39494.2,28601.3,106.7,24495.9,25575.4,56996.6,63049.3,71157.7,131531.4,204000
read,39599.5,28564.8,106.7,24698.1,25755.9,57314.6,64257.7,72889.3,132228.7,210000
read,39449.4,31835.7,117.4,24654.0,25654.1,57767.5,63426.3,71696.9,132322.4,216000
read,39156.6,30938.1,97.0,24464.7,25505.4,57426.3,63412.6,69658.5,132246.9,222000
read,39858.1,36281.1,2478.6,24703.1,25780.3,58169.3,63977.4,72967.5,131619.8,228000
read,39921.8,31230.7,106.7,24616.2,25787.8,58484.8,64517.2,71841.6,132274.4,234000
read,39605.5,34059.0,7071.6,24627.3,25645.8,58301.1,64255.2,74033.8,131594.4,240000
read,39414.4,26851.6,106.7,24643.6,25787.8,56878.0,62857.0,72068.4,132361.3,246000
read,39973.5,26851.1,106.7,24720.6,25821.6,58056.9,64873.3,73839.7,131190.0,252000
read,39479.0,28016.9,16674.5,24713.3,25849.0,57104.9,62702.6,71583.4,132354.7,258000
read,39645.5,29734.9,6428.8,24662.6,25644.9,58063.5,64029.1,73960.3,131550.6,264000
read,39656.6,30548.6,106.7,24602.7,25662.5,57795.9,63843.9,72563.5,132460.5,270000
read,39726.1,30308.6,97.0,24686.4,25781.6,57720.8,63896.3,73383.3,131376.0,276000
