#type,avg,min,1st,5th,10th,90th,95th,99th,QPS,target
read,421.2,8303.3,41.1,59.2,63.1,114.3,130.2,164.4,19874.1,20000
read,97.3,2205.6,41.1,56.9,60.3,104.3,114.4,141.7,39714.0,40000
read,91.5,2193.5,41.1,56.6,59.6,104.5,114.8,138.8,60013.9,60000
read,126.0,2706.6,41.1,56.4,59.2,105.8,117.4,143.5,79901.1,80000
read,101.1,1587.7,41.1,56.5,59.2,103.6,114.6,137.4,100106.3,100000
read,93.6,482.5,37.4,55.4,57.9,106.1,117.8,141.8,119989.2,120000
read,90.4,444.3,41.1,56.3,58.8,105.2,116.4,140.5,139953.6,140000
read,138.7,1127.6,37.4,56.1,58.8,108.4,120.7,148.2,160052.8,160000
read,129.6,3151.2,41.1,56.4,59.2,105.5,116.7,139.8,180018.4,180000
read,157.5,3841.6,45.3,56.6,59.3,107.2,117.1,141.8,199962.2,200000
read,103.4,904.1,41.1,56.1,58.8,109.1,120.1,140.9,219939.2,220000
read,124.9,2354.9,41.1,56.3,59.2,110.0,120.8,143.8,239966.8,240000
read,90.1,1701.2,41.1,57.3,60.5,109.2,119.5,140.9,259805.5,260000
read,98.3,1751.7,41.1,56.8,60.0,110.1,120.8,140.9,279772.4,280000
read,91.8,1700.0,41.1,57.6,60.8,111.5,121.5,141.2,299909.0,300000
read,95.4,1729.3,41.1,57.2,60.5,111.5,122.1,140.9,319841.2,320000
read,124.7,2815.6,41.1,57.1,60.5,111.7,122.2,140.7,339962.5,340000
read,153.2,3530.1,41.1,58.6,61.7,114.4,124.9,145.3,359875.8,360000
read,97.9,1716.3,45.3,59.0,61.8,115.1,125.5,146.9,379880.2,380000
read,175.8,3854.0,45.3,60.1,62.7,116.4,126.8,148.0,399687.4,400000
read,97.9,2365.4,41.1,60.5,63.1,117.1,127.1,148.1,419752.6,420000
read,145.0,3626.7,45.3,60.6,63.6,119.6,129.1,151.9,439866.3,440000
read,101.7,1859.9,41.1,60.7,63.4,120.0,129.1,151.3,460269.3,460000
read,110.8,1879.2,45.3,60.8,64.0,121.3,130.9,153.4,480028.3,480000
read,108.9,1882.8,34.0,61.3,64.7,122.6,133.7,155.5,499844.5,500000
read,108.3,1869.4,45.3,62.0,66.1,124.2,135.0,154.5,520220.3,520000
read,119.0,749.0,41.1,61.6,65.7,125.9,137.4,162.4,539929.3,540000
read,106.6,605.0,41.1,62.6,66.8,126.4,137.5,159.4,559725.3,560000
read,114.3,640.6,45.3,62.5,66.9,126.4,137.7,162.6,579955.2,580000
read,125.1,1637.0,45.3,64.4,68.8,129.8,141.0,166.2,599810.8,600000
read,120.1,1669.6,41.1,65.9,70.4,132.2,143.7,170.8,620087.3,620000
read,116.4,1622.3,45.3,64.4,68.8,130.9,142.3,170.4,639976.5,640000
read,139.3,2247.8,45.3,65.8,70.3,134.2,145.4,170.6,660272.7,660000
read,125.1,2230.5,45.3,65.3,70.0,133.1,144.5,174.5,680315.6,680000
read,180.0,3755.0,45.3,66.5,71.2,136.4,148.5,179.4,700045.6,700000
read,174.2,3100.1,45.3,66.9,71.8,137.4,149.5,185.7,719874.3,720000
read,152.6,2781.1,45.3,66.3,71.5,139.1,151.2,184.4,739885.7,740000
read,132.7,1792.2,41.1,67.5,73.3,140.5,152.3,188.3,759620.0,760000
read,204.8,3525.6,41.1,66.5,72.1,140.1,152.3,194.7,779412.6,780000
read,150.3,3127.2,45.3,69.2,74.8,144.3,155.4,207.9,799699.4,800000
read,271.3,5364.6,45.3,68.4,74.3,144.5,155.8,478.3,820306.3,820000
read,170.1,4616.5,49.8,70.9,76.6,147.7,159.4,218.1,840026.4,840000
read,153.0,2347.7,45.3,69.4,75.4,146.9,159.0,227.2,859935.7,860000
read,162.6,2366.1,45.3,70.5,76.5,148.8,161.8,252.2,879967.7,880000
read,151.7,748.3,45.3,71.6,77.3,151.8,166.5,284.9,900202.7,900000
read,195.4,2334.5,45.3,71.9,77.7,151.0,165.8,730.0,920126.5,920000
read,266.0,4932.2,45.3,72.8,79.0,152.9,168.8,1779.0,940172.6,940000
read,171.2,2271.8,49.8,73.5,79.6,154.8,170.9,1545.1,960622.4,960000
read,180.4,2317.6,49.8,73.7,79.7,155.2,172.1,1774.6,979994.4,980000
read,270.9,4665.8,45.3,73.1,79.2,156.1,174.0,1885.4,1000067.0,1000000
read,215.8,3145.5,45.3,75.1,81.8,161.4,179.8,2335.0,1020231.7,1020000
read,202.1,1018.1,49.8,75.0,81.9,165.2,185.9,2904.2,1039955.7,1040000
read,170.3,877.3,49.8,75.4,82.0,164.7,183.7,1488.4,1060468.0,1060000
read,225.6,2801.0,49.8,77.6,84.9,169.8,188.6,2920.9,1080107.5,1080000
read,281.9,3886.3,45.3,75.0,82.5,169.9,191.7,3342.4,1100183.0,1100000
read,221.3,1294.9,49.8,76.1,83.5,170.2,191.9,3358.4,1119904.4,1120000
read,241.2,1238.0,49.8,77.7,85.4,176.4,202.9,4188.8,1139833.6,1140000
read,213.0,1162.7,49.8,80.7,88.9,181.2,204.6,3254.0,1160328.1,1160000
read,256.8,3625.7,49.8,80.1,87.8,181.0,204.0,3000.4,1179571.4,1180000
read,289.4,3358.8,49.8,79.6,87.1,184.1,211.8,4221.0,1199828.8,1200000
read,326.1,4479.1,49.8,80.5,88.3,187.5,218.8,4086.5,1219897.0,1220000
read,265.4,1402.1,49.8,82.5,91.1,192.0,226.1,4814.0,1239741.1,1240000
read,332.4,4352.0,45.3,80.3,88.9,193.9,227.2,4074.7,1259907.3,1260000
read,273.6,3109.6,45.3,83.2,92.5,198.0,230.4,3874.7,1280035.5,1280000
read,331.4,3518.0,49.8,83.6,92.4,203.3,247.1,5023.0,1299557.3,1300000
read,295.5,3498.3,49.8,83.5,93.5,206.7,245.1,4244.2,1319758.9,1320000
read,330.0,3638.4,45.3,88.3,98.2,216.9,268.5,4672.1,1339723.4,1340000
read,284.2,3646.8,49.8,87.4,97.1,213.8,257.1,3936.1,1360071.6,1360000
read,261.0,1980.8,49.8,86.5,96.9,217.7,265.3,3991.2,1379851.7,1380000
read,291.4,1292.2,49.8,87.7,97.4,222.6,275.9,4562.6,1400124.1,1400000
read,278.3,1154.2,49.8,89.5,99.6,233.6,293.8,4238.6,1419953.4,1420000
read,290.5,1195.5,45.3,93.5,104.1,244.8,300.2,4320.5,1439719.0,1440000
read,330.3,1260.7,49.8,95.0,106.6,262.2,360.6,4813.7,1460249.1,1460000
read,322.0,1279.8,49.8,95.3,106.4,257.9,335.7,4679.0,1479327.2,1480000
read,346.8,1337.1,49.8,93.9,105.4,275.7,394.6,4752.9,1499812.7,1500000
read,365.8,2096.3,49.8,99.2,110.8,292.6,402.9,5105.8,1519740.4,1520000
read,350.3,2113.1,49.8,95.0,106.7,282.4,387.6,4810.6,1539671.0,1540000
read,396.2,2016.1,54.8,100.7,112.9,327.8,694.6,5093.9,1559954.6,1560000
read,349.4,2046.9,54.8,101.9,114.7,323.6,448.1,4661.5,1579470.3,1580000
read,393.6,2102.5,54.8,102.9,115.5,354.8,763.8,4913.1,1599287.2,1600000
read,443.5,3479.5,45.3,106.3,119.1,357.4,640.2,4996.0,1618899.7,1620000
read,458.7,2901.7,49.8,107.3,120.7,409.7,1628.3,5135.2,1637870.5,1640000
read,478.9,3156.0,60.2,111.0,125.2,455.1,2220.0,5356.9,1657826.6,1660000
read,430.7,2704.0,54.8,111.5,126.5,484.2,950.1,4889.2,1677553.6,1680000
read,535.0,3919.6,49.8,114.5,130.4,575.9,2113.7,5227.1,1696949.6,1700000
read,502.6,2792.4,49.8,116.3,132.0,686.7,1889.4,4795.4,1716579.0,1720000
read,589.7,2819.7,49.8,119.8,136.4,912.8,2631.4,5665.1,1735591.6,1740000
read,608.3,2890.3,54.8,124.5,143.1,974.8,2265.4,5879.7,1755501.8,1760000
read,700.9,1774.7,54.8,126.9,145.5,1303.1,2622.0,5803.7,1774705.7,1780000
read,878.4,2001.1,54.8,127.3,148.5,1706.2,3028.7,7983.9,1794299.2,1800000
read,958.1,2067.5,49.8,134.1,158.2,1664.3,2789.7,8436.1,1813686.7,1820000
read,1128.3,2295.1,54.8,136.6,160.0,1914.9,2979.8,15595.6,1832919.2,1840000
read,1212.1,2399.5,60.2,140.8,167.5,2200.9,3199.3,15664.7,1851845.8,1860000
read,1285.8,4403.2,54.8,145.5,172.8,2210.7,3076.1,12152.0,1862887.0,1880000
read,1341.3,2232.8,54.8,152.8,185.6,2560.3,3334.6,9357.9,1872445.4,1900000
read,1415.5,2401.7,54.8,154.4,188.2,2618.4,3296.5,15662.0,1880913.4,1920000
read,1443.1,2120.7,60.2,168.9,211.3,2710.0,3290.2,7408.6,1890658.9,1940000
read,1820.9,4030.0,60.2,191.2,252.0,3048.5,3582.3,16640.8,1891486.9,1960000
read,1867.5,3122.0,60.2,215.7,296.6,3185.3,3579.6,16370.2,1903266.3,1980000
read,2095.5,2674.0,72.9,271.2,402.2,3321.2,3686.8,16168.9,1909447.3,2000000
