%%
%% bibalias
%% first column is the alias, second column is the DBLP key
%% References cannot be used both via alias and non-alias in a paper (leads to duplicates)

dune         DBLP:conf/osdi/BelayBMTMK12
megapipe     DBLP:conf/osdi/HanMCR12
sandstorm    DBLP:conf/sigcomm/MarinosWH14
click        DBLP:journals/tocs/KohlerMCJK00
routebricks  DBLP:conf/sosp/DobrescuEACFIKMR09
Atikoglu:2012:WAL DBLP:conf/sigmetrics/AtikogluXFJP12
tinyosnet    DBLP:conf/nsdi/LevisMGPSWBC04
quasar       DBLP:conf/asplos/DelimitrouK14
mtcp         DBLP:conf/nsdi/JeongWJJIHP14
ix-osdi      DBLP:conf/osdi/BelayPKGKB14
arrakis	     DBLP:conf/osdi/PeterLZPWKAR14
spark	     DBLP:conf/nsdi/ZahariaCDDMMFSS12
mesos 	     DBLP:conf/nsdi/HindmanKZGJKSS10
