#type,avg,min,1st,5th,10th,50th,90th,95th,99th,QPS,target
read,25.8,-nan,17.4,23.3,23.5,25.5,28.5,30.2,33.9,50019.4,50000
read,25.3,-nan,17.4,22.8,23.4,24.9,27.7,28.5,32.4,100014.2,100000
read,25.1,-nan,17.4,22.3,23.3,24.7,27.5,28.1,32.8,149887.7,150000
read,25.1,-nan,17.4,22.4,23.3,24.7,27.5,28.2,33.1,199961.8,200000
read,25.2,-nan,17.4,22.4,23.3,24.7,27.6,29.0,34.0,249873.8,250000
read,25.2,-nan,17.4,22.3,23.3,24.7,27.7,29.4,34.2,300085.4,300000
read,25.2,-nan,17.4,22.4,23.3,24.8,27.8,29.5,34.0,349948.4,350000
read,25.4,-nan,17.4,22.5,23.3,24.8,28.0,30.1,35.0,399908.3,400000
read,25.3,-nan,17.4,22.4,23.3,24.8,27.9,30.0,34.8,449998.6,450000
read,25.6,-nan,17.4,22.6,23.4,25.0,28.8,30.8,36.0,500010.9,500000
read,25.7,-nan,17.4,22.6,23.3,25.0,29.1,31.1,36.6,549774.4,550000
read,25.8,-nan,17.4,22.7,23.4,25.0,29.3,31.4,36.5,600073.3,600000
read,26.1,-nan,17.4,22.7,23.4,25.1,30.4,33.2,38.7,650081.7,650000
read,26.2,-nan,17.4,23.0,23.4,25.3,30.5,33.0,38.5,699891.0,700000
read,25.9,-nan,17.4,22.5,23.3,25.1,30.0,32.3,37.2,750091.5,750000
read,26.4,-nan,17.4,23.2,23.5,25.4,30.8,33.4,39.0,799950.9,800000
read,26.8,-nan,17.4,23.3,23.5,25.8,32.0,34.3,40.4,850052.7,850000
read,27.0,-nan,17.4,23.2,23.5,25.9,32.4,34.9,40.8,899972.3,900000
read,27.6,-nan,17.4,23.3,23.7,26.4,33.5,36.4,43.2,949898.1,950000
read,27.8,-nan,17.4,23.3,23.7,26.6,33.8,36.8,44.0,999997.7,1000000
read,27.7,-nan,17.4,23.3,23.7,26.5,33.7,36.7,44.2,1050060.8,1050000
read,28.6,-nan,17.4,23.4,23.8,27.1,35.5,38.8,47.5,1099802.3,1100000
read,28.4,-nan,17.4,23.4,23.7,27.1,35.4,38.6,47.4,1150114.4,1150000
read,28.7,-nan,17.4,23.4,23.8,27.3,35.9,39.3,48.3,1199985.5,1200000
read,29.0,-nan,17.4,23.4,23.8,27.4,36.5,40.1,49.5,1250061.9,1250000
read,30.1,-nan,17.4,23.6,24.1,28.4,38.5,42.7,53.5,1300202.8,1300000
read,29.8,-nan,17.4,23.5,24.0,28.0,37.9,42.1,53.7,1350392.6,1350000
read,32.0,-nan,17.4,23.8,24.5,30.2,42.1,47.9,60.0,1400146.2,1400000
read,31.4,-nan,17.4,23.6,24.2,29.2,41.0,47.0,60.0,1449840.0,1450000
read,32.8,-nan,17.4,23.8,24.5,30.7,44.1,50.6,64.9,1500043.6,1500000
read,35.8,-nan,19.2,24.0,24.8,32.5,51.7,59.6,80.6,1549851.2,1550000
read,38.1,-nan,19.2,24.3,25.5,34.6,55.7,64.5,87.0,1599498.8,1600000
read,43.0,-nan,19.2,24.8,26.3,37.8,65.8,78.4,108.5,1650015.3,1650000
read,45.6,-nan,17.4,24.7,26.2,38.5,74.0,90.9,132.0,1700127.5,1700000
read,47.6,-nan,17.4,25.3,27.1,41.0,76.4,92.2,128.9,1749803.0,1750000
read,52.8,-nan,17.4,26.1,28.2,44.9,86.5,105.8,152.3,1799873.4,1800000
read,1211.5,-nan,21.1,27.8,31.8,86.0,2938.3,2974.9,3122.4,1849268.0,1850000
read,1945.1,-nan,21.1,30.2,35.5,2770.5,2967.0,2991.5,3212.4,1899231.1,1900000
read,1684.9,-nan,21.1,36.9,48.6,2344.7,2657.7,2703.0,2886.2,1948565.1,1950000
read,1878.3,-nan,21.1,29.8,35.3,2598.6,2910.5,2955.3,2991.2,1997622.1,2000000
read,1191.8,-nan,21.1,32.3,38.8,140.4,2809.5,2904.6,2980.6,2046731.5,2050000
read,1830.6,-nan,21.1,40.5,56.3,2521.9,2702.3,2724.8,2941.4,2081160.7,2100000
read,1769.2,-nan,21.1,32.6,40.2,2363.3,2650.4,2697.7,2867.5,2107425.9,2150000
read,2586.3,-nan,23.2,2290.5,2333.1,2574.6,2806.3,2914.1,3017.6,2128865.7,2200000
read,2514.0,-nan,23.2,2076.4,2127.3,2562.0,2918.1,2958.6,2991.1,2148674.7,2250000
read,2740.1,-nan,25.5,2503.9,2543.7,2795.8,2958.7,2979.1,2995.4,2146588.0,2300000
read,2394.7,-nan,23.2,2041.5,2074.9,2340.2,2876.9,2938.1,2987.0,2152755.0,2350000
read,2510.6,-nan,54.8,2065.7,2094.7,2657.5,2938.8,2969.0,2993.2,2156261.4,2400000
read,2295.9,-nan,88.2,2014.1,2060.7,2187.6,2895.6,2947.5,2989.0,2167695.2,2450000
read,2412.4,-nan,66.3,2050.4,2070.2,2228.1,2935.1,2967.3,2993.0,2162672.9,2500000
