#type,avg,min,1st,5th,10th,50th,90th,95th,99th,QPS,target
read,24.7,-nan,17.4,23.2,23.4,24.5,26.4,27.4,30.5,49954.0,50000
read,24.7,-nan,17.4,23.1,23.4,24.5,26.4,27.5,30.6,99981.1,100000
read,24.8,-nan,17.4,23.2,23.4,24.6,26.7,27.6,30.9,149988.2,150000
read,24.8,-nan,17.4,23.1,23.4,24.5,26.7,27.6,30.8,200044.4,200000
read,24.9,-nan,17.4,23.2,23.4,24.6,27.0,27.8,31.3,249993.4,250000
read,24.9,-nan,17.4,23.1,23.4,24.6,27.0,27.8,31.9,300129.4,300000
read,25.1,-nan,17.4,23.3,23.4,24.7,27.3,28.0,32.6,350014.8,350000
read,25.1,-nan,17.4,23.3,23.4,24.7,27.4,28.0,32.8,400057.8,400000
read,25.2,-nan,17.4,23.3,23.5,24.8,27.5,28.1,32.8,449931.0,450000
read,25.2,-nan,17.4,23.3,23.4,24.8,27.6,28.6,33.5,500012.4,500000
read,25.3,-nan,17.4,23.3,23.4,24.8,27.7,29.0,33.6,549935.1,550000
read,25.4,-nan,17.4,23.3,23.5,24.9,27.8,29.5,33.9,599937.9,600000
read,25.5,-nan,17.4,23.3,23.5,25.0,28.0,29.8,34.8,649985.2,650000
read,25.8,-nan,17.4,23.3,23.5,25.0,28.6,30.7,38.0,699993.0,700000
read,25.8,-nan,17.4,23.3,23.5,25.2,28.9,30.5,35.6,749949.9,750000
read,26.0,-nan,17.4,23.4,23.6,25.3,29.3,30.8,36.4,800066.7,800000
read,25.9,-nan,17.4,23.3,23.5,25.2,29.3,30.8,36.4,850099.6,850000
read,26.2,-nan,17.4,23.4,23.6,25.4,29.9,31.7,37.0,899957.5,900000
read,26.3,-nan,17.4,23.4,23.6,25.5,30.2,32.2,37.3,950073.4,950000
read,26.5,-nan,17.4,23.4,23.6,25.6,30.4,32.7,37.8,1000004.7,1000000
read,26.6,-nan,17.4,23.4,23.7,25.8,30.7,33.1,38.9,1050102.5,1050000
read,26.9,-nan,17.4,23.4,23.7,26.0,31.1,33.5,39.5,1099971.0,1100000
read,26.8,-nan,17.4,23.4,23.7,25.9,31.0,33.4,39.8,1150072.9,1150000
read,27.0,-nan,17.4,23.4,23.7,26.2,31.7,33.9,40.2,1200034.1,1200000
read,27.3,-nan,17.4,23.5,23.8,26.4,32.5,34.8,41.0,1250042.0,1250000
read,27.3,-nan,17.4,23.5,23.8,26.4,32.5,34.8,41.1,1300013.6,1300000
read,27.6,-nan,17.4,23.5,23.8,26.7,33.1,35.7,42.3,1349882.4,1350000
read,28.0,-nan,17.4,23.5,23.9,27.0,33.5,36.4,43.7,1399942.6,1400000
read,28.1,-nan,17.4,23.5,23.8,27.0,33.8,36.8,44.5,1450095.7,1450000
read,28.6,-nan,17.4,23.5,23.9,27.4,35.0,37.9,46.5,1499848.0,1500000
read,29.2,-nan,17.4,23.6,24.1,27.8,36.1,39.4,48.7,1549967.6,1550000
read,30.0,-nan,17.4,23.7,24.2,28.6,37.4,41.2,52.7,1599985.6,1600000
read,30.1,-nan,17.4,23.7,24.2,28.4,37.9,42.3,54.4,1650218.2,1650000
read,31.3,-nan,17.4,23.8,24.5,29.7,40.1,44.8,57.7,1699802.1,1700000
read,31.4,-nan,17.4,23.8,24.4,29.5,40.5,45.8,59.3,1749924.3,1750000
read,33.9,-nan,17.4,23.9,24.7,31.1,47.2,55.3,74.1,1799729.1,1800000
read,34.5,-nan,17.4,24.0,24.8,31.4,48.7,57.5,78.9,1849894.9,1850000
read,33.9,-nan,17.4,24.0,24.9,31.4,46.0,53.7,71.0,1899859.2,1900000
read,1973.3,-nan,17.4,24.8,26.4,2797.9,2966.9,2988.0,3173.4,1949147.6,1950000
read,1208.7,-nan,19.2,26.3,28.7,61.5,2933.3,2966.8,2993.6,1999507.8,2000000
read,2817.0,-nan,25.5,2737.8,2751.5,2861.9,2972.3,2986.1,2997.1,2048769.0,2050000
read,2760.4,-nan,23.2,2556.1,2635.8,2837.6,2967.1,2983.3,2996.3,2098801.6,2100000
read,2706.5,-nan,23.2,2495.3,2512.5,2650.1,2902.0,2951.4,2990.8,2148370.6,2150000
read,2646.3,-nan,23.2,2490.5,2503.4,2606.3,2709.1,2722.0,2940.5,2198310.5,2200000
read,2595.7,-nan,23.2,2490.0,2502.8,2605.0,2707.2,2720.0,2970.1,2247038.8,2250000
read,2544.3,-nan,23.2,2481.6,2494.7,2599.5,2704.3,2717.4,2824.1,2296774.7,2300000
read,2184.3,-nan,21.1,1202.8,1409.7,2481.2,2683.7,2709.0,2833.1,2342432.1,2350000
read,2165.0,-nan,21.1,1297.3,1497.6,2334.4,2541.2,2649.3,2810.7,2390803.8,2400000
read,2400.0,-nan,28.1,2264.8,2276.6,2371.1,2465.5,2477.3,2703.3,2426871.3,2450000
read,2420.6,-nan,23.2,2268.5,2284.5,2413.1,2652.3,2696.6,2835.2,2431687.5,2500000
