#type,avg,min,1st,5th,10th,50th,90th,95th,99th,QPS,target
read,38.3,-nan,23.2,31.8,32.9,37.0,44.9,48.9,56.5,49993.4,50000
read,38.4,-nan,23.2,31.7,32.8,37.1,45.1,49.4,57.7,100026.9,100000
read,38.7,-nan,23.2,31.6,32.7,37.7,45.4,49.2,56.8,149979.6,150000
read,37.9,-nan,23.2,31.5,32.3,36.7,44.7,48.6,56.2,199980.2,200000
read,39.2,-nan,23.2,32.1,33.6,38.0,46.6,50.5,58.7,249963.3,250000
read,38.5,-nan,23.2,31.8,32.9,37.4,45.0,48.8,56.0,299958.9,300000
read,38.6,-nan,23.2,31.8,33.0,37.4,45.2,49.2,56.9,350121.0,350000
read,38.5,-nan,23.2,31.5,32.5,37.4,45.2,49.1,56.6,400074.7,400000
read,38.4,-nan,23.2,31.4,32.3,37.2,45.2,49.1,56.7,449845.9,450000
read,39.1,-nan,23.2,32.1,33.7,38.0,45.7,49.4,57.5,500047.5,500000
read,40.1,-nan,23.2,33.0,34.3,39.0,47.8,51.6,59.3,550159.0,550000
read,39.4,-nan,23.2,32.3,34.0,38.4,46.3,49.7,57.8,600236.7,600000
read,39.3,-nan,23.2,32.3,33.9,38.2,46.3,49.9,58.1,650386.3,650000
read,39.7,-nan,23.2,32.3,34.0,38.5,47.3,51.3,59.1,699786.9,700000
read,40.0,-nan,25.5,32.6,34.2,38.9,47.7,51.5,59.3,750141.5,750000
read,41.3,-nan,23.2,33.1,34.5,39.9,49.7,53.8,62.4,800008.8,800000
read,40.2,-nan,23.2,32.3,33.9,38.8,48.7,53.0,61.6,850311.0,850000
read,40.9,-nan,23.2,33.0,34.4,39.5,49.4,53.7,62.0,900016.8,900000
read,41.1,-nan,23.2,33.0,34.4,39.6,49.9,54.2,64.3,949928.0,950000
read,40.8,-nan,23.2,33.1,34.4,39.4,49.1,53.3,61.4,999858.2,1000000
read,42.8,-nan,23.2,34.0,34.9,40.7,53.3,58.2,70.1,1050051.6,1050000
read,42.8,-nan,23.2,34.1,34.9,40.7,53.2,58.0,70.5,1099503.0,1100000
read,42.7,-nan,23.2,34.1,34.9,40.7,53.0,57.7,68.8,1149908.9,1150000
read,44.0,-nan,23.2,34.3,35.4,41.9,55.0,59.9,73.3,1199774.1,1200000
read,44.2,-nan,23.2,34.2,35.2,41.7,56.1,61.6,76.8,1250013.6,1250000
read,45.0,-nan,23.2,33.5,34.8,42.0,58.5,65.9,85.7,1300138.4,1300000
read,48.7,-nan,23.2,34.7,36.0,44.4,65.6,77.2,105.6,1350368.2,1350000
read,64.8,-nan,25.5,35.9,38.1,53.3,110.8,134.7,181.0,1400075.4,1400000
read,67.1,-nan,25.5,36.3,38.3,53.8,118.0,144.3,190.5,1450064.2,1450000
read,53.7,-nan,25.5,35.6,37.8,49.0,76.1,88.2,120.5,1499995.2,1500000
read,75.8,-nan,23.2,34.8,36.2,46.8,182.9,221.0,273.8,1549816.9,1550000
read,64.9,-nan,23.2,37.2,39.3,57.5,101.4,119.1,156.7,1599901.7,1600000
read,77.3,-nan,25.5,37.2,39.2,58.2,151.9,186.5,238.9,1650046.3,1650000
read,68.3,-nan,25.5,38.1,40.9,60.6,106.3,124.8,162.5,1697279.3,1700000
read,106.2,-nan,25.5,37.4,39.5,60.1,264.2,290.8,327.0,1716854.5,1750000
read,167.1,-nan,25.5,38.7,43.1,172.2,297.4,319.4,351.2,1751237.6,1800000
read,185.9,-nan,25.5,47.7,57.0,196.2,313.4,328.1,356.7,1781141.9,1850000
read,234.1,-nan,25.5,40.4,45.5,275.2,352.4,366.9,399.6,1802231.5,1900000
read,298.4,-nan,80.2,221.3,235.4,302.6,357.0,366.7,397.9,1773404.5,1950000
read,214.0,-nan,28.1,78.6,107.0,215.7,320.5,343.2,369.4,1842838.3,2000000
read,266.3,-nan,37.4,197.1,210.1,268.1,321.3,332.5,362.0,1867784.8,2050000
read,250.9,-nan,30.9,114.1,147.1,265.7,328.9,343.0,365.4,1864640.4,2100000
read,245.0,-nan,30.9,107.3,140.5,259.1,324.9,334.9,363.6,1869158.5,2150000
read,269.6,-nan,45.3,198.1,212.0,272.7,325.0,334.0,362.1,1883925.8,2200000
read,279.8,-nan,49.8,208.6,220.4,283.5,332.5,349.3,367.1,1845033.6,2250000
read,268.5,-nan,41.1,195.3,208.9,266.1,334.1,356.7,391.6,1881804.0,2300000
read,259.5,-nan,45.3,185.1,198.4,255.8,326.6,342.8,365.8,1887962.4,2350000
read,232.4,-nan,28.1,85.6,116.9,252.0,312.4,326.1,349.7,1867652.8,2400000
read,257.3,-nan,45.3,176.7,190.9,251.6,337.0,357.7,391.0,1888880.8,2450000
read,281.3,-nan,106.7,200.8,215.0,280.5,353.0,372.9,402.0,1884321.4,2500000
