#type,avg,min,1st,5th,10th,50th,90th,95th,99th,QPS,target
read,24.3,-nan,17.4,21.7,22.3,24.2,25.5,26.5,29.6,49919.7,50000
read,24.3,-nan,17.4,21.7,22.3,24.2,25.5,26.6,29.8,99965.4,100000
read,24.3,-nan,17.4,21.6,22.2,24.2,25.5,26.9,29.8,149971.2,150000
read,24.4,-nan,17.4,21.8,22.5,24.3,25.5,27.1,30.6,200141.6,200000
read,24.4,-nan,17.4,21.7,22.4,24.3,26.0,27.4,30.8,250011.3,250000
read,24.4,-nan,17.4,21.6,22.2,24.3,26.0,27.4,30.9,299973.7,300000
read,24.5,-nan,17.4,21.8,22.5,24.4,26.5,27.6,30.9,350023.9,350000
read,24.6,-nan,17.4,21.8,22.6,24.4,26.7,27.8,32.0,399966.2,400000
read,24.7,-nan,17.4,21.8,22.6,24.4,26.9,27.9,32.5,449950.4,450000
read,24.7,-nan,17.4,21.8,22.4,24.4,27.0,27.9,32.8,500062.3,500000
read,24.8,-nan,17.4,21.9,22.7,24.5,27.2,28.1,32.9,549947.7,550000
read,24.9,-nan,17.4,21.9,22.7,24.5,27.4,28.6,33.5,600076.1,600000
read,25.0,-nan,17.4,22.0,22.9,24.6,27.7,29.5,33.9,650169.7,650000
read,25.2,-nan,17.4,22.1,23.1,24.7,27.9,29.8,34.5,699914.2,700000
read,25.3,-nan,17.4,22.2,23.2,24.8,28.0,30.2,35.4,750066.1,750000
read,25.3,-nan,17.4,22.1,23.1,24.8,28.1,30.3,35.8,799834.5,800000
read,25.6,-nan,17.4,22.2,23.2,24.9,29.0,30.9,36.5,850156.2,850000
read,25.6,-nan,17.4,22.2,23.2,24.9,29.2,31.0,36.7,899876.5,900000
read,25.8,-nan,17.4,22.3,23.3,25.0,29.6,31.6,36.9,949878.5,950000
read,26.0,-nan,17.4,22.4,23.3,25.1,30.2,32.6,38.1,999979.4,1000000
read,26.1,-nan,17.4,22.6,23.4,25.2,30.3,32.7,38.8,1050065.5,1050000
read,26.1,-nan,17.4,22.5,23.3,25.2,30.4,32.9,39.0,1100152.8,1100000
read,26.4,-nan,17.4,22.5,23.3,25.3,31.2,33.7,40.2,1150062.0,1150000
read,26.5,-nan,17.4,22.7,23.4,25.4,31.1,33.6,40.4,1200058.5,1200000
read,27.1,-nan,17.4,22.9,23.4,25.8,32.7,35.5,43.5,1250014.7,1250000
read,26.9,-nan,17.4,22.8,23.4,25.5,32.2,34.6,42.0,1299967.5,1300000
read,27.4,-nan,17.4,23.2,23.5,26.1,33.3,36.3,44.9,1350165.6,1350000
read,27.6,-nan,17.4,23.2,23.5,26.3,33.6,36.7,45.4,1400046.2,1400000
read,28.5,-nan,17.4,23.3,23.7,27.0,35.4,38.8,49.5,1450092.2,1450000
read,28.8,-nan,17.4,23.3,23.7,27.2,36.0,39.8,51.6,1499818.3,1500000
read,29.3,-nan,17.4,23.4,23.8,27.6,36.9,40.8,53.4,1550008.1,1550000
read,29.9,-nan,17.4,23.4,23.8,28.0,38.1,42.6,55.7,1599786.0,1600000
read,29.9,-nan,17.4,23.4,23.8,27.9,38.2,43.0,57.4,1650042.2,1650000
read,31.2,-nan,17.4,23.5,24.1,29.3,40.5,45.8,59.8,1699773.5,1700000
read,31.8,-nan,17.4,23.6,24.1,29.8,41.9,48.0,62.9,1750108.7,1750000
read,32.8,-nan,17.4,23.7,24.3,30.7,44.1,50.9,67.0,1800040.1,1800000
read,32.3,-nan,17.4,23.6,24.2,30.1,43.4,50.2,66.3,1849996.5,1850000
read,35.3,-nan,17.4,23.8,24.5,32.1,50.6,59.1,80.9,1900072.8,1900000
read,37.7,-nan,17.4,23.8,24.6,32.8,56.7,70.3,107.3,1949941.7,1950000
read,41.6,-nan,17.4,24.2,25.4,36.2,64.5,77.9,110.2,2000000.7,2000000
read,49.7,-nan,17.4,24.7,26.2,39.8,84.7,108.2,170.0,2049988.0,2050000
read,57.5,-nan,17.4,25.7,27.9,46.0,101.6,128.2,200.2,2099975.3,2100000
read,49.6,-nan,17.4,24.5,25.9,40.1,84.7,106.1,157.7,2149904.0,2150000
read,1070.2,-nan,21.1,29.1,33.7,123.0,2363.7,2422.6,2469.7,2200035.5,2200000
read,1106.2,-nan,21.1,26.6,30.0,150.0,2428.3,2460.0,2606.0,2249749.6,2250000
read,1485.9,-nan,19.2,28.1,33.0,2088.3,2363.4,2421.2,2467.4,2297817.2,2300000
read,1658.8,-nan,21.1,30.1,36.0,2210.4,2428.5,2454.1,2474.6,2342486.5,2350000
read,1647.4,-nan,21.1,32.6,40.3,2163.8,2410.4,2445.0,2472.8,2394127.1,2400000
read,2200.6,-nan,23.2,1977.2,2055.6,2196.6,2412.7,2446.0,2472.6,2429521.3,2450000
read,1635.9,-nan,21.1,31.6,38.6,2150.9,2406.2,2442.9,2472.2,2455571.0,2500000
