#type,avg,min,1st,5th,10th,50th,90th,95th,99th,QPS,target
read,96.9,-nan,41.1,52.6,55.4,69.6,88.1,96.7,117.3,24950.3,25000
read,95.2,-nan,37.4,52.1,54.9,68.6,90.4,99.6,120.2,49939.0,50000
read,96.4,-nan,37.4,52.0,54.8,67.8,92.1,102.0,123.7,74942.1,75000
read,95.3,-nan,37.4,51.8,54.4,66.4,92.5,103.5,127.2,99958.8,100000
read,95.7,-nan,34.0,51.6,54.1,66.0,93.1,104.7,128.8,125034.6,125000
read,95.4,-nan,37.4,51.8,54.6,66.0,90.7,102.3,127.8,149959.7,150000
read,94.6,-nan,37.4,52.1,54.9,66.4,89.4,100.5,127.1,174997.4,175000
read,96.1,-nan,37.4,52.3,55.2,68.2,91.5,101.9,127.6,199947.0,200000
read,95.2,-nan,41.1,52.8,55.6,68.6,91.0,100.9,126.9,224947.8,225000
read,104.1,-nan,37.4,53.5,56.2,70.7,94.4,104.1,129.1,250123.9,250000
read,103.2,-nan,41.1,54.3,56.7,72.0,96.1,105.8,130.7,274907.0,275000
read,104.5,-nan,41.1,55.2,57.8,74.4,100.5,110.4,136.6,300035.2,300000
read,105.9,-nan,41.1,55.5,58.5,75.8,103.9,114.5,142.3,325015.6,325000
read,111.5,-nan,41.1,56.3,59.8,78.4,109.7,121.8,154.1,350065.3,350000
read,110.9,-nan,37.4,57.0,60.9,80.6,113.6,125.9,155.8,374797.0,375000
read,117.1,-nan,37.4,58.0,62.2,84.0,121.5,136.6,174.6,399956.7,400000
read,124.1,-nan,41.1,59.8,64.2,87.8,128.9,147.0,190.5,425036.8,425000
read,130.8,-nan,41.1,61.2,66.3,92.3,139.1,157.6,207.7,450106.8,450000
read,145.9,-nan,41.1,63.1,68.8,97.7,154.5,180.8,247.3,475181.2,475000
read,152.1,-nan,41.1,66.0,72.5,104.4,173.9,204.2,287.6,499970.0,500000
read,161.7,-nan,41.1,68.3,74.9,110.3,193.8,230.6,332.7,525171.8,525000
read,191.8,-nan,45.3,71.6,78.1,117.8,250.1,309.7,480.5,549927.2,550000
