#type,avg,min,1st,5th,10th,50th,90th,95th,99th,QPS,target
read,51.0,6.5,30.9,42.2,43.7,51.3,58.3,59.8,65.8,49984.5,50000
read,51.8,6.9,30.9,42.3,43.9,51.8,59.5,62.6,70.5,100022.4,100000
read,53.3,8.5,30.9,42.8,44.9,52.7,62.4,66.1,77.0,150022.6,150000
read,54.7,9.4,30.9,42.9,45.2,53.6,65.7,71.3,81.1,200118.8,200000
read,56.4,10.0,30.9,43.2,45.6,54.8,69.8,76.1,88.0,249919.9,250000
read,58.6,14.9,30.9,43.3,45.9,56.3,75.0,81.3,96.8,300009.8,300000
read,61.0,16.4,30.9,44.0,46.6,57.8,79.7,88.3,107.7,350040.8,350000
read,64.0,18.2,34.0,44.8,47.4,59.4,86.7,97.8,122.2,399945.2,400000
read,68.1,23.0,30.9,45.0,47.8,61.2,97.7,112.6,147.1,450124.9,450000
read,75.0,34.6,30.9,46.0,49.2,63.6,115.7,139.2,195.0,499926.1,500000
read,90.5,61.8,34.0,46.5,50.0,66.2,161.5,210.7,328.4,549987.4,550000
read,256.6,374.8,30.9,46.8,50.4,70.9,881.7,1158.8,1583.3,600039.2,600000
read,553.2,826.4,34.0,47.1,50.8,75.2,2071.6,2332.1,2627.2,637105.2,650000
read,619.2,868.1,34.0,49.4,52.6,81.5,2205.6,2477.8,2749.3,665779.7,700000
read,812.9,918.7,34.0,49.8,53.1,93.8,2251.7,2540.3,2861.4,699890.8,750000
read,931.0,954.4,30.9,50.6,54.4,94.5,2327.2,2624.9,2936.9,724358.3,800000
read,958.3,980.1,30.9,51.8,55.8,98.1,2391.0,2695.4,2985.4,748781.7,850000
read,978.6,1011.2,30.9,52.8,56.7,105.1,2493.4,2815.2,3169.8,771309.2,900000
read,995.1,1034.1,34.0,54.7,58.4,113.3,2571.2,2893.6,3234.0,795188.1,950000
read,1004.3,1055.1,34.0,55.5,59.8,114.1,2638.0,2973.8,3295.4,818815.1,1000000
